header,title,title_url,channel_name,channel_url,timestamp,products,activity_controls,video_id,duration_seconds,topic_categories
YouTube,Watched Funniest Ronald Reagan Jokes | The Soviet Car Salesman #ronaldreagan #funny #jokes,https://www.youtube.com/watch?v=_t9HXnVrwa4,Ronald Reagan Presidential Foundation & Institute,https://www.youtube.com/channel/UCEJi23qnygQHE5UeLXoV_JQ,2024-10-18 04:27:09.427000+00:00,YouTube,YouTube watch history,_t9HXnVrwa4,57.0,"['Humour', 'Politics', 'Society']"
YouTube,Watched Here we go again 🍿🔥,https://www.youtube.com/watch?v=lFyUcP3WcyI,ESPN MLB,https://www.youtube.com/channel/UCvHm-lDQEhRJNCd8BdpzDkQ,2024-10-18 04:27:07.855000+00:00,YouTube,YouTube watch history,lFyUcP3WcyI,12.0,"['Baseball', 'Sport']"
YouTube,Watched Testing New York’s BIGGEST SECRET… #shorts #newyork,https://www.youtube.com/watch?v=0JbDwg4klYk,Heather Maldonado,https://www.youtube.com/channel/UCcRWfwF3XtJYrtrq26cdABg,2024-10-18 04:26:57.918000+00:00,YouTube,YouTube watch history,0JbDwg4klYk,36.0,['Lifestyle (sociology)']
YouTube,Watched LeBron Admits He’s The Cheapest NBA Player 😳,https://www.youtube.com/watch?v=Q1gYBk3Io0c,Inspiredbyhoops,https://www.youtube.com/channel/UCNR93hKfKy493U3lw-djSug,2024-10-18 04:26:14.279000+00:00,YouTube,YouTube watch history,Q1gYBk3Io0c,42.0,"['Basketball', 'Sport']"
YouTube,Watched Most Insane Phone Call Between Contractors,https://www.youtube.com/watch?v=HFCZcoHuy1w,SaucyTV,https://www.youtube.com/channel/UCmDcSLZlJEEzGqqh_JDsYXA,2024-10-18 04:26:05.340000+00:00,YouTube,YouTube watch history,HFCZcoHuy1w,53.0,"['Entertainment', 'Humour']"
YouTube,Watched Rory McIlroy’s BRAVE drive 🫣,https://www.youtube.com/watch?v=W8iud4xEcDE,DP World Tour,https://www.youtube.com/channel/UCvZwbZt6YZQ4wj_7qyjPDZw,2024-10-18 04:26:03.372000+00:00,YouTube,YouTube watch history,W8iud4xEcDE,21.0,"['Golf', 'Sport']"
YouTube,Watched Kesha P. Diddy,https://www.youtube.com/watch?v=L0h9fI_3SjE,Phyzzics ⚛️ ,https://www.youtube.com/channel/UCT_SN-AJDALHAF1ZehgAsng,2024-10-18 04:26:02.066000+00:00,YouTube,YouTube watch history,L0h9fI_3SjE,8.0,"['Music', 'Pop music']"
YouTube,Watched 🤫 Mafia boss handles police like a boss 😉 #law #policeofficer #viral #trend,https://www.youtube.com/watch?v=wW3DCHZk-3M,Livey,https://www.youtube.com/channel/UCrvokFPQYmAuVVwjYRX8CYg,2024-10-18 04:25:57.335000+00:00,YouTube,YouTube watch history,wW3DCHZk-3M,56.0,['Lifestyle (sociology)']
YouTube,Watched My wife is SCREAMING #couple #marriedlife,https://www.youtube.com/watch?v=6qYk1BkCrug,Meghan & Jack,https://www.youtube.com/channel/UCG0EsX9WUDVaN3EC4LjRZuQ,2024-10-18 04:25:55.605000+00:00,YouTube,YouTube watch history,6qYk1BkCrug,51.0,['Entertainment']
YouTube,"Watched Kiké Hernandez fooled Jesse Winker with this deke, a breakdown #sports #mlb #baseball #dodgers #mets",https://www.youtube.com/watch?v=1oMnrxn4_KM,Jomboy Media,https://www.youtube.com/channel/UCl9E4Zxa8CVr2LBLD0_TaNg,2024-10-18 04:24:57.889000+00:00,YouTube,YouTube watch history,1oMnrxn4_KM,57.0,"['Baseball', 'Cricket', 'Sport']"
